CID,CNAME,PERIOD,CREDIT,TEACHER
CS-01,创业团队建设与管理,64,4.0,马力
CS-02,高等数学（五）,32,2.0,朱健民
CS-03,材料性能与应用,48,2.5,王晨
CS-04,新科学家英语：演讲与写作,4,0.5,李雪
CS-05,材料成形技术基础,32,2.0,郑红梅
EE-01,线性代数与空间解析几何（一）,32,2.0,黄廷祝
EE-02,国际交流英语,32,2.0,周之南
EE-03,Physics,64,4.0,吴昊
EE-04,计算机系统局限性,32,2.0,何积丰
EE-05,大学物理—振动、波动与光学,48,2.5,李英兰
ME-01,大学物理（力学、电磁学）,64,4.0,陈肖慧
ME-02,大学物理（热学、振动波、光学、近代物理）,16,1.0,陈肖慧
ME-03,自我塑造：成功五要素,64,4.0,陈月华
ME-04,大学生科技创新课程之中美青年创客大赛,64,4.0,罗大兵
ME-05,微波技术,32,2.0,赵春晖
MATH-01,无机及分析化学（下）,4,0.5,王运
MATH-02,中外石油文化,16,1.0,张卫东
MATH-03,无机化学——化学反应原理,16,1.0,张兴文
MATH-04,新型陶瓷材料及商业应用,48,2.5,于岩
MATH-05,社区管理学,64,4.0,孙萍
PHYS-01,地下结构数值计算方法,4,0.5,缪圆冰
PHYS-02,光信息处理,32,2.0,曹益平
PHYS-03,无机与分析化学,32,2.0,和玲
PHYS-04,无机非金属材料实验,32,2.0,冯小平
PHYS-05,技术经济学,16,1.0,刘晓君
CHEM-01,光电子学（二）,64,4.0,朱京平
CHEM-02,大学英语过程写作,32,2.0,林娟
CHEM-03,大学物理-电磁学,64,4.0,刘永录
CHEM-04,化工导论,64,4.0,唐韶坤
CHEM-05,产业经济学,32,2.0,王俊豪
BIO-01,基础工程设计原理,32,2.0,李镜培
BIO-02,大学物理-振动、波动和波动光学,48,2.5,刘永录
BIO-03,物理与艺术,4,0.5,施大宁
BIO-04,计算机科学导论,48,2.5,董荣胜
BIO-05,全球化与中国文化,4,0.5,王俊棋
ECON-01,医患沟通技能学,4,0.5,吴静
ECON-02,C语言程序设计进阶,64,4.0,翁恺
ECON-03,英汉互译方法与技巧,64,4.0,姚媛
ECON-04,习近平新时代中国特色社会主义思想概论,64,4.0,李冉
ECON-05,沟通心理学,16,1.0,裴秋宇
PSY-01,高级语言程序设计（Python）,48,2.5,车万翔
PSY-02,走近摄影,32,2.0,黎大志
PSY-03,孙子兵法鉴赏,48,2.5,陈润华
PSY-04,金融学（二）,64,4.0,李健
PSY-05,C语言程序设计——快速入门与提高,48,2.5,吕春利
HIST-01,国际金融学,16,1.0,杨胜刚
HIST-02,学前教育原理,48,2.5,李少梅
HIST-03,基于Java的面向对象编程范式,32,2.0,刘钦
HIST-04,中国哲学经典著作导读,64,4.0,刘俊
HIST-05,微积分（三）,64,4.0,高建
STAT-01,大学美育,16,1.0,苏宏元
STAT-02,生命科学基础,48,2.5,谭信
STAT-03,现代工程制图（下）,48,2.5,高菲
STAT-04,大学物理—量子物理基础及应用,32,2.0,李雪春
STAT-05,精密机械设计,64,4.0,许贤泽
PHIL-01,航天、人文与艺术,48,2.5,闻新
PHIL-02,Python数据分析与展示,64,4.0,嵩天
PHIL-03,Python网络爬虫与信息提取,48,2.5,嵩天
PHIL-04,心理学：我知无不言，它妙不可言,16,1.0,田媛
PHIL-05,环境设施设计,4,0.5,张凌浩
SOC-01,高速铁路桥梁与隧道工程,32,2.0,王英学
SOC-02,中学生物学教学设计,64,4.0,崔鸿
SOC-03,微积分（四）,16,1.0,高建
SOC-04,微积分（二）,16,1.0,高建
SOC-05,科举与唐诗,48,2.5,王士祥
ART-01,大学物理典型问题解析—振动、波动与光学,32,2.0,李英兰
ART-02,东南亚南亚商务,16,1.0,韩越
ART-03,交际英语,4,0.5,赵雪爱
ART-04,疲劳与断裂,64,4.0,杨新华
ART-05,基础化学实验(无机化学),64,4.0,郭栋才
MUS-01,基础化学实验（分析化学）,48,2.5,郭栋才
MUS-02,普通化学原理,48,2.5,吴旭
MUS-03,线性代数与空间解析几何（二）,32,2.0,黄廷祝
MUS-04,高速铁路动车组技术,48,2.5,李芾
MUS-05,混凝土结构基本原理,64,4.0,顾祥林
SE-01,大学物理4：光学、近代物理,64,4.0,倪忠强
SE-02,文学经典导读,64,4.0,李新
SE-03,聪慧的源泉——数学导读,32,2.0,朱传喜
SE-04,国际交流实用英文写作,32,2.0,胡志雯
SE-05,创业基础,64,4.0,张耀辉
CE-01,物理光学,32,2.0,哈斯乌力吉
CE-02,信息化教学能力之五项修炼,64,4.0,焦建利
CE-03,预防医学（二）,16,1.0,戴俊明
CE-04,大学物理2：振动与波动、热学,48,2.5,刘海兰
CE-05,材料力学性能,48,2.5,张程煜
BME-01,粉体力学,32,2.0,刘志军
BME-02,教你如何做MOOC,64,4.0,冯菲
BME-03,生命科学导论,48,2.5,郑用琏
BME-04,全球卫生导论,48,2.5,陈文
BME-05,资源经济学,48,2.5,顾晓薇
ENV-01,小学课程设计与评价,32,2.0,曾文婕
ENV-02,微积分(二),64,4.0,徐厚宝
ENV-03,C君带你玩编程,48,2.5,方娇莉
ENV-04,教师职业道德,64,4.0,马丽
ENV-05,工程索道,16,1.0,郑丽凤
LAW-01,汽车发动机构造,48,2.5,高文志
LAW-02,中国传世名画鉴赏,48,2.5,王鹏（王鹏澂）
LAW-03,老子的人生智慧,64,4.0,张雷
LAW-04,基础化学实验（有机化学）,64,4.0,郭栋才
LAW-05,机械基础实景教学（机械设计）,32,2.0,张锋
